Section Reference;Meta-Analysis Info;TitlePrompt
No Reference;Criteria;As a researcher, you are responsible for determining which titles are suitable for a meta-analysis. Refer to the provided criteria: [inclusion criteria] [exclusion criteria] to guide your evaluations. Exercise diligence and academic rigor in making inclusion and exclusion decisions.
Topic;No Info;You are an experienced academic with extensive expertise in reviewing scientific literature across multiple domains. Carefully examine the list of titles below, focusing on the alignment of their research questions and hypotheses with the topic of interest. Include titles only if they demonstrate clear relevance and exclude those that lack sufficient focus or connection to the topic. Exercise precision and fairness in your selection to ensure a well-rounded analysis.
Topic;No Info;Thoroughly review the provided titles, considering their research focus, hypotheses, and overall relevance to the topic at hand. Your task is to determine which titles indicate studies that meaningfully explore significant questions in the field. Retain those that contribute to an insightful understanding of the subject and exclude those that do not clearly align with the topic. Be careful and systematic in your evaluation.
Topic;No Info;As a distinguished researcher, approach the following titles with a focus on their potential to address meaningful research questions and hypotheses relevant to the topic. Select titles that clearly demonstrate value to the broader understanding of the field, ensuring each decision reflects careful consideration. Exclude titles only when you are certain they lack topical relevance or sufficient academic focus.
Topic;No Info;Evaluate the titles below with a focus on their topic, research questions, and hypotheses. Your role is to identify papers that contribute to a comprehensive understanding of the field. Select works that are clearly relevant and exclude those that do not meet the threshold of alignment with the topic. Use your expertise to maintain a balanced and rigorous approach.
Topic;No Info;Review the following list of paper titles with attention to their research questions and hypotheses. Your aim is to determine their topical relevance, prioritizing studies that significantly contribute to the discourse. Exclude any titles that fail to address pertinent research topics, ensuring that the final selection is comprehensive and precise.
Topic;No Info;Systematically analyze the titles provided, focusing on their alignment with the central topic and the clarity of their research questions and hypotheses. Include titles that enhance the breadth and depth of understanding in the field and exclude those that do not clearly align. Approach the task with the rigor and objectivity of a seasoned academic.
Topic;No Info;Screen the titles below with a particular focus on the relevance of their research questions and hypotheses to the topic. Include titles only when their alignment is clear and meaningful. Avoid excluding any work unless it demonstrably lacks topical connection or academic significance. Conduct the review with care and objectivity.
Topic;No Info;Examine the provided titles, assessing each for its relevance to the topic and its potential to advance understanding through its research focus. Select works that demonstrate alignment with the field’s key questions and exclude those with insufficient relevance or focus. Be deliberate and thorough in your evaluation process.
Topic;No Info;Carefully consider the list of titles, identifying those with research questions and hypotheses that align with the topic of interest. Include titles that contribute to a balanced understanding of the subject and exclude those with no clear connection. Use your expertise to ensure thoughtful and accurate selections.
Topic;No Info;As a highly skilled researcher, assess the titles below to determine their relevance to the specified topic. Focus on their research questions, hypotheses, and overall academic value. Retain those that demonstrate alignment with the topic, while excluding any that lack clarity or relevance. Ensure each decision is grounded in careful analysis and informed judgment.
Topic;For MA;You are tasked with identifying titles of scientific papers suitable for inclusion in a meta-analysis. Carefully evaluate each title by examining its research questions, hypotheses, and main topics. Focus on selecting those titles that align closely with the goals of synthesizing knowledge in a systematic and comprehensive manner. Ensure your choices reflect the high standards of rigor expected in meta-analytical research by including only those papers with clearly relevant topics and excluding those that do not meet these criteria.
Topic;For MA;As part of a scientific team preparing a meta-analysis, your role is to screen the provided paper titles for their relevance. Pay close attention to their research topics, questions, and hypotheses, ensuring that your selections contribute meaningfully to a thorough and balanced synthesis of research. Include titles only if their topics align well with the focus of the meta-analysis, and exclude those that lack the necessary relevance, applying your expertise to make thoughtful and informed decisions.
Topic;For MA;Imagine you are contributing to a high-quality meta-analysis. Your task is to review a set of scientific paper titles and determine their relevance based on their research topics, questions, and hypotheses. Carefully weigh the potential value of each title to the meta-analysis, including those that align closely with its objectives and excluding those that do not. Approach the task with precision, ensuring your decisions uphold the rigorous standards of scientific synthesis.
Topic;For MA;You are assisting in the development of a robust meta-analysis by screening titles of scientific papers. For each title, evaluate the relevance of its research topics, questions, and hypotheses, and decide whether it should be included. Select titles that align with the meta-analysis’s goals of creating a meaningful and comprehensive synthesis, excluding only those with topics that clearly lack relevance. Maintain a meticulous and objective approach throughout the process.
Topic;For MA;As a member of a team conducting a meta-analysis, you are tasked with carefully reviewing scientific paper titles for their suitability. Your goal is to identify titles with research questions and topics that contribute to a meaningful synthesis of evidence. Be deliberate and precise in your screening, including only those titles that meet the criteria for a rigorous meta-analysis and excluding those that do not. Approach the task with the thoroughness expected of high-quality academic research.
Topic;For MA;Your role in the preparation of a meta-analysis is to screen the provided scientific paper titles for inclusion. Analyze each title based on its research topics, questions, and hypotheses, selecting those that align with the meta-analysis’s focus and excluding those that do not. Ensure your selections reflect careful judgment and high academic standards, contributing to a comprehensive and balanced synthesis of knowledge.
Topic;For MA;You are evaluating scientific paper titles to determine their relevance for a meta-analysis. Focus on their research questions, hypotheses, and overall topics, selecting only those that align with the meta-analysis’s objectives. Exclude titles with topics that lack relevance, and approach the task with the expertise and precision required for conducting a thorough and systematic synthesis of research findings.
Topic;For MA;Imagine you are part of a world-class research team tasked with preparing a meta-analysis. Your job is to assess the provided paper titles for their potential inclusion. Carefully consider each title’s research questions, hypotheses, and topics, selecting only those that contribute meaningfully to the synthesis of knowledge. Avoid excluding relevant titles prematurely and ensure your decisions reflect the rigor and objectivity expected in high-quality scientific work.
Topic;For MA;You are screening titles of scientific papers to support a rigorous meta-analysis. For each title, evaluate its relevance by focusing on the research questions, hypotheses, and overarching topics. Select those titles that align with the meta-analysis’s goals, and exclude those that clearly lack relevance. Apply your expertise to ensure that your screening decisions contribute to a balanced and thorough synthesis of research findings.
Topic;For MA;Your task is to screen scientific paper titles for their inclusion in a meta-analysis. Examine each title carefully, focusing on its research topics, questions, and hypotheses. Select only those titles that fit the criteria for a meaningful and systematic synthesis of knowledge, excluding those that do not. Approach this process with precision and a clear understanding of the importance of your decisions in shaping the quality of the meta-analysis.
Topic;Title;As a researcher evaluating potential contributions for the meta-analysis titled [ttl], your task is to screen the following paper titles based on their relevance to the study’s research questions, hypotheses, and overarching topics. Select titles that align with the goals and objectives of [ttl], ensuring they provide valuable insights, while excluding those that are outside the scope of this analysis.
Topic;Title;You are responsible for assessing the suitability of academic paper titles for inclusion in the meta-analysis [ttl]. Carefully examine each title, focusing on its research focus, hypotheses, and key topics, and determine whether it contributes meaningfully to the objectives of this study. Ensure that relevant titles are included and irrelevant ones are excluded to maintain the integrity of the meta-analysis.
Topic;Title;Your role in this screening process is to evaluate the provided paper titles for their relevance to the meta-analysis titled [ttl]. Pay close attention to the research questions, hypotheses, and primary topics addressed by each title, selecting those that align with the meta-analysis’s aims and excluding those that do not meet its criteria.
Topic;Title;As part of the research team preparing a meta-analysis titled [ttl], you are tasked with evaluating the relevance of academic paper titles. Focus on the central themes, research objectives, and hypotheses within each title, identifying those that contribute to the analysis while excluding irrelevant ones.
Topic;Title;You are a key participant in the review process for a meta-analysis called [ttl]. Screen the paper titles provided below by analyzing their research topics, hypotheses, and scope. Select titles that match the focus of [ttl] and exclude those that do not align with its overarching purpose.
Topic;Title;Your expertise is needed to determine the relevance of scientific paper titles for inclusion in a meta-analysis titled [ttl]. Use your knowledge to assess each title’s alignment with the research questions, hypotheses, and key topics of the meta-analysis. Include titles with significant relevance and exclude those outside the study’s scope.
Topic;Title;Screen the provided academic paper titles for their potential contribution to the meta-analysis called [ttl]. Evaluate each title’s research questions, hypotheses, and primary topics, ensuring that only titles closely aligned with the goals of [ttl] are included.
Topic;Title;You are evaluating paper titles for their relevance to the meta-analysis [ttl]. Consider their alignment with the research questions, hypotheses, and thematic focus of the meta-analysis, and make precise decisions to include only those that meet the established criteria.
Topic;Title;Your task is to review and assess the paper titles below for their relevance to a meta-analysis titled [ttl]. Focus on their research focus, hypotheses, and overall topics to identify those that contribute meaningfully to the meta-analysis, excluding any that fall outside its intended scope.
Topic;Title;As a researcher working on the meta-analysis titled [ttl], your responsibility is to screen the provided titles with a focus on their research questions, hypotheses, and topics. Ensure that selected titles align with the objectives of [ttl], carefully excluding any irrelevant ones to maintain the analysis’s rigor and scope.
Topic;Criteria;As part of a meta-analysis project, evaluate the titles of the provided papers based on the following criteria for inclusion: [inclusion criteria]. Carefully assess their alignment with the research focus, hypotheses, and overarching topics relevant to the meta-analysis objectives. Similarly, exclude papers that meet the exclusion criteria: [exclusion criteria]. Exercise diligence and precision in identifying studies that contribute to the synthesis of knowledge in this field.
Topic;Criteria;You are evaluating a set of academic paper titles for inclusion in a meta-analysis. Using the specified criteria ([inclusion criteria], [exclusion criteria]), assess the relevance of each title by analyzing the research topics, hypotheses, and questions. Focus on identifying papers that align closely with the objectives of the meta-analysis while excluding those that do not.
Topic;Criteria;Review the provided paper titles to determine their suitability for a meta-analysis. The selection criteria include: [inclusion criteria]. Base your evaluations on the research focus, questions, and hypotheses presented in each title. Exclude papers that fall under the exclusion criteria: [exclusion criteria], ensuring a thoughtful and balanced screening process.
Topic;Criteria;You are tasked with screening academic paper titles for a meta-analysis guided by the following selection criteria: [inclusion criteria] and [exclusion criteria]. Focus on each title’s research questions, central topics, and hypotheses to decide whether it meets the standards for inclusion or exclusion.
Topic;Criteria;Screen the academic paper titles listed below for relevance to a meta-analysis. Use the provided selection criteria ([inclusion criteria], [exclusion criteria]) as a guide. Evaluate the research themes, questions, and hypotheses of each title, ensuring they align with the meta-analysis objectives before making inclusion or exclusion decisions.
Topic;Criteria;Carefully review the titles of scientific papers for their alignment with the objectives of a meta-analysis. Your evaluation should be guided by the following criteria: [inclusion criteria] and [exclusion criteria]. Focus on the primary research topics, hypotheses, and questions presented in each title to ensure relevance and precision in your selection.
Topic;Criteria;As part of a research team, your role is to assess the provided titles of academic papers for inclusion in a meta-analysis. The selection process is based on the following: [inclusion criteria], [exclusion criteria]. Evaluate the topics, hypotheses, and research questions of each title, ensuring they contribute to the meta-analysis objectives.
Topic;Criteria;You are responsible for determining the relevance of paper titles for inclusion in a meta-analysis. The evaluation criteria are as follows: [inclusion criteria] and [exclusion criteria]. Review each title with attention to its research focus, hypotheses, and topics to ensure it fits the goals of the meta-analysis.
Topic;Criteria;Screen the provided paper titles for potential inclusion in a meta-analysis, guided by the following criteria: [inclusion criteria] and [exclusion criteria]. Your focus should be on the alignment of their research questions, hypotheses, and topics with the meta-analysis objectives. Only include titles that meet the defined standards.
Topic;Criteria;Evaluate the academic paper titles listed below for relevance to a meta-analysis. Using the selection criteria provided ([inclusion criteria], [exclusion criteria]), assess whether the research questions, central hypotheses, and topics of each title align with the meta-analysis goals. Select carefully, ensuring a balanced and rigorous approach to the screening process.
Methods;No Info;Carefully review the titles listed below, focusing on the research methods, procedures, and protocols they describe. Evaluate whether each title suggests a study that contributes valuable insights into the methodological framework of the field. Exclude any titles only if it is absolutely clear that their methods are irrelevant to the subject.
Methods;No Info;Assess the provided list of titles with an emphasis on their research methods and approaches. Select those that highlight relevant research protocols and exclude those that fail to demonstrate sufficient alignment with established scientific standards or the subject matter.
Methods;No Info;As an expert evaluator, screen the titles below by analyzing the research methods and techniques implied. Choose only those titles that clearly reflect meaningful and applicable methodologies. Avoid excluding any title unless you are confident it lacks relevance.
Methods;No Info;Conduct a detailed review of the listed titles, concentrating on their suggested research strategies, procedures, and methodologies. Include works that provide robust research methods and exclude those that do not meet the necessary criteria for relevance or rigor.
Methods;No Info;With a focus on methodological relevance, evaluate each title in the list below. Consider whether the suggested research approach and procedures are aligned with the academic objectives of the field. Include only those titles that meet these standards and exclude the rest.
Methods;No Info;Analyze the list of titles below by examining the research protocols and methods they represent. Retain titles that suggest rigorous and applicable methods, and exclude those that lack clear relevance or depth in their methodological approach.
Methods;No Info;Review the titles below with a focus on the research processes, techniques, and protocols described. Your goal is to identify and retain titles that demonstrate significant methodological contributions, excluding any that fail to align with the criteria for relevance.
Methods;No Info;Carefully screen the list of paper titles below, focusing on the research methods and protocols suggested. Prioritize including titles that present clear and relevant methodological frameworks while excluding those that do not align with the field’s standards or objectives.
Methods;No Info;Systematically evaluate the titles provided, concentrating on the relevance of the research procedures and techniques described. Retain only those that demonstrate a meaningful methodological approach and exclude those that lack sufficient relevance or clarity.
Methods;No Info;Critically examine the titles listed below, paying close attention to the research protocols, methods, and overall approach they imply. Select those with clear and impactful methodological contributions, while excluding those whose relevance or methodological rigor cannot be established.
Methods;For MA;Screen the titles below for inclusion in a meta-analysis, concentrating on their research methods, procedures, and overall approach. Select only those titles whose methodologies align with the objectives of a rigorous and comprehensive synthesis of knowledge.
Methods;For MA;As part of a meta-analysis team, your task is to review the following paper titles, emphasizing their research methods and approach. Carefully evaluate each title to determine its relevance, ensuring that only those with meaningful methodological contributions are included.
Methods;For MA;Your role in the meta-analysis is to assess the scientific rigor of the following paper titles. Focus on their research protocols and methodological approaches, and include titles that are likely to advance the overall quality and scope of the meta-analysis.
Methods;For MA;Imagine you are conducting a systematic meta-analysis. Review the titles below, evaluating their relevance based on their research methods and approach. Select titles that align with the standards of a high-quality synthesis and exclude those lacking methodological significance.
Methods;For MA;The titles listed below need to be screened for potential inclusion in a meta-analysis. Concentrate on their research procedures and methodological approach, selecting only those titles that meet the criteria for rigorous academic research.
Methods;For MA;You are reviewing paper titles for inclusion in a meta-analysis. Carefully examine each title’s research methods and approach, ensuring that only those with a strong methodological foundation are selected for further analysis.
Methods;For MA;In preparing for a meta-analysis, you are tasked with screening paper titles. Pay close attention to their research procedures and methods, selecting only those that align with the goals of creating a balanced and meaningful synthesis of current scientific knowledge.
Methods;For MA;As a researcher contributing to a meta-analysis, review the titles below with a focus on their methods and research approach. Carefully select titles that reflect methodological rigor and exclude those that do not meet the required standards.
Methods;For MA;Your task is to screen the following titles for inclusion in a meta-analysis. Emphasize their research methods and procedures, ensuring that each selected title contributes to the overall robustness and credibility of the analysis.
Methods;For MA;The titles below require evaluation for their potential contribution to a meta-analysis. Focus on the research methods, procedures, and overall approach of each title, selecting only those that meet the criteria for inclusion in a systematic and comprehensive review.
Methods;Title;Screen the following titles with an emphasis on their research techniques, methodologies, and procedural rigor. Your goal is to determine their alignment with the focus and objectives of the meta-analysis titled: [ttl]. Include papers demonstrating relevant approaches and exclude those that do not meet the required methodological criteria.
Methods;Title;As a researcher conducting a meta-analysis titled: [ttl], your task is to evaluate the research procedures and methodologies of the titles provided. Carefully assess the relevance of each based on its alignment with the meta-analysis’s core focus, selecting only those that contribute meaningfully to the analysis.
Methods;Title;Review the provided paper titles to assess their compatibility with the meta-analysis titled: [ttl]. Concentrate on the methods, research design, and approaches described, and choose those that adhere to the methodological standards of this analysis.
Methods;Title;For the meta-analysis titled [ttl], screen the titles below by examining their research methodologies, techniques, and approaches. Focus on identifying titles that align with the analysis’s scope and research objectives, ensuring inclusion only when the methods are relevant.
Methods;Title;You are tasked with screening paper titles for inclusion in the meta-analysis titled: [ttl]. Evaluate each title by analyzing its research methods and protocols to determine its suitability. Include papers that align methodologically and exclude those that fall outside the analysis’s scope.
Methods;Title;Conduct a focused evaluation of the paper titles below for their relevance to the meta-analysis titled: [ttl]. Place particular emphasis on research procedures, approaches, and methodologies to ensure a robust and accurate selection process.
Methods;Title;In the context of the meta-analysis titled [ttl], screen the provided scientific paper titles by concentrating on their methodological frameworks and research designs. Select titles with techniques that align with the meta-analysis’s objectives and exclude those that do not meet its criteria.
Methods;Title;As part of the screening process for the meta-analysis titled [ttl], carefully evaluate the methods and research procedures described in each title. Ensure that your selections reflect the methodological rigor and relevance required for this synthesis of knowledge.
Methods;Title;Review the paper titles below to assess their methodological alignment with the meta-analysis titled: [ttl]. Focus on identifying research approaches and techniques that contribute meaningfully to the analysis’s goals, excluding those that lack relevance or rigor.
Methods;Title;You are responsible for screening the provided titles for their relevance to the meta-analysis titled: [ttl]. Your primary focus should be on research methods, procedural approaches, and methodological soundness to ensure the selection of high-quality and relevant papers.
Methods;Criteria;Analyze the methods and techniques detailed in the titles below, ensuring they align with the inclusion and exclusion criteria specified for this meta-analysis: [inclusion criteria] [exclusion criteria]. Pay close attention to the research protocols, procedures, and methodological approaches, identifying those that meet the standards necessary for a rigorous and meaningful synthesis of studies.
Methods;Criteria;Carefully review the provided titles to evaluate their suitability for inclusion in a meta-analysis. Use the following selection criteria: [inclusion criteria] [exclusion criteria]. Prioritize the relevance of each paper’s research methods, procedures, and approach to determine whether they align with the objectives of the meta-analysis.
Methods;Criteria;Your task is to screen the research titles below, applying the meta-analysis selection criteria: [inclusion criteria] [exclusion criteria]. Focus on assessing the research procedures, methods, and approaches described in each title, and determine whether they reflect cutting-edge techniques and align with the purpose of this synthesis.
Methods;Criteria;Examine the methods and techniques outlined in the listed titles to identify their relevance to the meta-analysis. The inclusion and exclusion criteria are as follows: [inclusion criteria] [exclusion criteria]. Ensure that only titles with suitable research protocols, procedures, and approaches are included in this rigorous evaluation.
Methods;Criteria;Evaluate the research focus and methodologies presented in the titles below against the inclusion and exclusion criteria: [inclusion criteria] [exclusion criteria]. Determine whether each study’s research methods align with the requirements of this meta-analysis and its overall goal of synthesizing valuable, current techniques.
Methods;Criteria;Review the following academic titles to assess their research methods in light of the meta-analysis inclusion and exclusion criteria: [inclusion criteria] [exclusion criteria]. Ensure a thorough and precise evaluation, prioritizing relevance and methodological rigor while excluding those that do not meet the standards.
Methods;Criteria;Screen the research methods presented in the titles below to determine their compatibility with the inclusion and exclusion criteria for this meta-analysis: [inclusion criteria] [exclusion criteria]. Focus on selecting studies with innovative and relevant methods while maintaining high academic standards.
Methods;Criteria;Critically assess the provided titles to determine their relevance to a meta-analysis, based on the following criteria: [inclusion criteria] [exclusion criteria]. Evaluate each paper’s research protocols, techniques, and methodologies to ensure alignment with the objectives of this comprehensive review.
Methods;Criteria;You are tasked with evaluating the titles below to decide their suitability for inclusion in a meta-analysis. Using the selection criteria: [inclusion criteria] [exclusion criteria], focus on the research approach, methods, and procedures to identify titles that reflect current and valuable techniques in the field.
Methods;Criteria;Screen the following paper titles, focusing on the research protocols and methods they describe, to determine their alignment with the specified inclusion and exclusion criteria: [inclusion criteria] [exclusion criteria]. Your evaluation should emphasize methodological relevance and rigor, ensuring a thorough and balanced selection process.
Results;No Info;Examine the titles provided below with a focus on their research outcomes and findings. Carefully assess whether each title indicates relevant results, and include those that contribute meaningfully to understanding the topic while excluding those that do not.
Results;No Info;Review the list of paper titles below and analyze their research discoveries and outcomes. Retain titles that demonstrate clear relevance to the subject matter and exclude those with unclear or insignificant results. Approach this task with precision and care.
Results;No Info;Evaluate the provided titles, centering your attention on their reported findings and outcomes. Select papers that offer valuable research insights and exclude those whose results lack relevance to the broader discourse.
Results;No Info;Analyze each title below, emphasizing the findings and research outcomes they suggest. Your task is to carefully distinguish between works with relevant and meaningful results and those without, ensuring your selection aligns with academic standards of rigor and relevance.
Results;No Info;Systematically review the titles below, focusing on their stated or implied research results. Include only those titles with outcomes that are clearly relevant and exclude those that fail to meet the criteria of meaningful contribution to the field.
Results;No Info;With an emphasis on research outcomes and findings, assess the list of titles provided. Identify works that exhibit significant and relevant results, and exclude any titles that do not meet these essential criteria.
Results;No Info;Screen the following list of titles with a focus on their research results. Include papers that contribute valuable findings to the subject and exclude those lacking sufficient relevance or clarity in their outcomes.
